ubuntu@ip-172-31-13-28:~/CarND-Semantic-Segmentation$ python main.py
TensorFlow Version: 1.2.1
2017-08-14 10:34:52.014241: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:893] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2017-08-14 10:34:52.014594: I tensorflow/core/common_runtime/gpu/gpu_device.cc:940] Found device 0 with properties:
name: Tesla M60
major: 5 minor: 2 memoryClockRate (GHz) 1.1775
pciBusID 0000:00:1e.0
Total memory: 7.43GiB
Free memory: 7.36GiB
2017-08-14 10:34:52.014617: I tensorflow/core/common_runtime/gpu/gpu_device.cc:961] DMA: 0
2017-08-14 10:34:52.014629: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] 0:   Y
2017-08-14 10:34:52.014642: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla M60, pci bus id: 0000:00:1e.0)
2017-08-14 10:34:52.100092: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla M60, pci bus id: 0000:00:1e.0)
Default GPU Device: /gpu:0
2017-08-14 10:34:52.101137: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla M60, pci bus id: 0000:00:1e.0)
Tests Passed
Tests Passed
2017-08-14 10:34:52.257305: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla M60, pci bus id: 0000:00:1e.0)
2017-08-14 10:34:52.268067: I tensorflow/compiler/xla/service/platform_util.cc:58] platform CUDA present with 1 visible devices
2017-08-14 10:34:52.268090: I tensorflow/compiler/xla/service/platform_util.cc:58] platform Host present with 16 visible devices
2017-08-14 10:34:52.272236: I tensorflow/compiler/xla/service/service.cc:198] XLA service 0x3bd4550 executing computations on platform Host. Devices:
2017-08-14 10:34:52.272254: I tensorflow/compiler/xla/service/service.cc:206]   StreamExecutor device (0): <undefined>, <undefined>
2017-08-14 10:34:52.272379: I tensorflow/compiler/xla/service/platform_util.cc:58] platform CUDA present with 1 visible devices
2017-08-14 10:34:52.272394: I tensorflow/compiler/xla/service/platform_util.cc:58] platform Host present with 16 visible devices
2017-08-14 10:34:52.274980: I tensorflow/compiler/xla/service/service.cc:198] XLA service 0x3e228e0 executing computations on platform CUDA. Devices:
2017-08-14 10:34:52.274997: I tensorflow/compiler/xla/service/service.cc:206]   StreamExecutor device (0): Tesla M60, Compute Capability 5.2
Tests Passed
2017-08-14 10:34:52.475149: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla M60, pci bus id: 0000:00:1e.0)
Tests Passed
Tests Passed
2017-08-14 10:34:52.484170: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla M60, pci bus id: 0000:00:1e.0)
Epoch 1/15 ; k=0 ; Training Loss: 129.355
Epoch 1/15 ; k=10 ; Training Loss: 3.394
Epoch 1/15 ; k=20 ; Training Loss: 1.108
Epoch 1/15 ; k=30 ; Training Loss: 0.839
Epoch 1/15 ; k=40 ; Training Loss: 0.749
Epoch 1/15 ; k=50 ; Training Loss: 0.689
Epoch 1/15 ; k=60 ; Training Loss: 0.737
Epoch 1/15 ; k=70 ; Training Loss: 0.656
Epoch 1/15 ; k=80 ; Training Loss: 0.672
Epoch 1/15 ; k=90 ; Training Loss: 0.650
Epoch 1/15 ; k=100 ; Training Loss: 0.630
Epoch 1/15 ; k=110 ; Training Loss: 0.630
Epoch 1/15 ; k=120 ; Training Loss: 0.643
Epoch 1/15 ; k=130 ; Training Loss: 0.612
Epoch 1/15 ; k=140 ; Training Loss: 0.587
Epoch 1/15 ; k=150 ; Training Loss: 0.571
Epoch 1/15 ; k=160 ; Training Loss: 0.571
Epoch 1/15 ; k=170 ; Training Loss: 0.581
Epoch 1/15 ; k=180 ; Training Loss: 0.531
Epoch 1/15 ; k=190 ; Training Loss: 0.482
Epoch 1/15 ; k=200 ; Training Loss: 0.476
Epoch 1/15 ; k=210 ; Training Loss: 0.390
Epoch 1/15 ; k=220 ; Training Loss: 0.405
Epoch 1/15 ; k=230 ; Training Loss: 0.403
Epoch 1/15 ; k=240 ; Training Loss: 0.370
Epoch 1/15 ; k=250 ; Training Loss: 0.291
Epoch 1/15 ; k=260 ; Training Loss: 0.280
Epoch 1/15 ; k=270 ; Training Loss: 0.285
Epoch 1/15 ; k=280 ; Training Loss: 0.290
Epoch 2/15 ; k=0 ; Training Loss: 0.274
Epoch 2/15 ; k=10 ; Training Loss: 0.256
Epoch 2/15 ; k=20 ; Training Loss: 0.430
Epoch 2/15 ; k=30 ; Training Loss: 0.244
Epoch 2/15 ; k=40 ; Training Loss: 0.291
Epoch 2/15 ; k=50 ; Training Loss: 0.242
Epoch 2/15 ; k=60 ; Training Loss: 0.176
Epoch 2/15 ; k=70 ; Training Loss: 0.275
Epoch 2/15 ; k=80 ; Training Loss: 0.297
Epoch 2/15 ; k=90 ; Training Loss: 0.260
Epoch 2/15 ; k=100 ; Training Loss: 0.200
Epoch 2/15 ; k=110 ; Training Loss: 0.222
Epoch 2/15 ; k=120 ; Training Loss: 0.255
Epoch 2/15 ; k=130 ; Training Loss: 0.260
Epoch 2/15 ; k=140 ; Training Loss: 0.194
Epoch 2/15 ; k=150 ; Training Loss: 0.279
Epoch 2/15 ; k=160 ; Training Loss: 0.289
Epoch 2/15 ; k=170 ; Training Loss: 0.176
Epoch 2/15 ; k=180 ; Training Loss: 0.199
Epoch 2/15 ; k=190 ; Training Loss: 0.197
Epoch 2/15 ; k=200 ; Training Loss: 0.195
Epoch 2/15 ; k=210 ; Training Loss: 0.213
Epoch 2/15 ; k=220 ; Training Loss: 0.255
Epoch 2/15 ; k=230 ; Training Loss: 0.217
Epoch 2/15 ; k=240 ; Training Loss: 0.209
Epoch 2/15 ; k=250 ; Training Loss: 0.335
Epoch 2/15 ; k=260 ; Training Loss: 0.189
